datadate,CA,TA,IC,CL,TL,TE,NI,Sales,CapEx,Div,Num of Shares,OptingCF,Price,Mkt Value,EPS
19980630,15889,22357,15647,5730,5730,16627,1357,3995,656,0,2470,6880,108.375,,1.83
19980930,18964,25569,18144,6445,6445,19124,1683,4193,106,0,2488,2584,110.0625,,0.68
19981231,21809,30049,21598,7471,7471,22578,1983,5195,241,0,2510,4735,138.6875,,1.47
19990331,24058,33561,24742,7839,7839,25722,1917,4595,291,0,5091,7419,89.625,,1.11
19990630,20233,37156,27458,8718,8718,28438,2202,5764,583,0,5109,10030,90.1875,,1.54
19990930,21963,39672,30360,8332,8332,31340,2191,5384,139,0,5148,1990,90.5625,,0.43
19991231,22020,45093,34589,10504,10504,34589,2436,6112,371,0,5177,4138,116.75,,0.9
20000331,25217,50895,39792,11103,11103,39792,2385,5656,617,0,5242,6407,106.25,,1.35
20000630,30308,52150,41368,9755,10782,41368,2409,5804,879,0,5283,13961,80,,1.81
20000930,31393,56089,45343,9306,10746,45343,2206,5766,245,0,5316,2960,60.3125,,0.42
20001231,35016,57691,46422,9625,11269,46422,2624,6550,517,0,5321,5829,43.375,,0.91
20010331,37789,59605,48090,9740,11515,48090,2451,6403,781,0,5336,9843,54.6875,,1.37
20010630,39637,59257,47289,11132,11968,47289,65,6577,1103,0,5383,13422,73,,1.38
20010930,44332,61367,48505,12862,12862,48505,1283,6126,150,0,5385.754,3389,51.17,,0.24
20011231,47988,65387,51548,11567,13839,51548,2283,7741,322,0,5403,6954,66.25,,0.66
20020331,47827,68379,54300,11842,14079,54300,2738,7245,488,0,5415,11075,60.31,,1.17
20020630,48576,67646,52180,12744,15466,52180,1525,7253,770,0,5359,14509,54.7,,1.45
20020930,50043,70235,53516,13757,16719,53516,2041,7746,160,0,5346,6172,43.74,,0.38
20021231,52931,72359,55812,13617,16547,55812,1865,8541,436,0,5351,8939,51.7,,0.72
20030331,54672,74482,58282,13161,16200,58282,2142,7835,618,0.08,10722,13108,24.21,,0.56
20030630,58973,79571,61020,13974,18551,61020,1483,8065,891,0,10771,15797,25.64,,0.7
20030930,60910,84281,66680,15098,17601,66680,2614,8215,167,0,10805,3424,27.8,,0.24
20031231,62400,85937,69343,13927,16594,69343,1549,10153,339,0.16,10789,7998,27.37,,0.39
20040331,65270,89767,70580,15984,19187,70580,1315,9175,552,0,10777,12968,24.93,,0.51
20040630,70566,92389,74825,14969,17564,74825,2690,9292,1109,0,10862,14626,28.56,,0.76
20040930,72896,94268,75946,15811,18322,75946,2528,9189,173,0.08,10865,4007,27.65,,0.23
20041231,44399,64941,47232,15045,17709,47232,3463,10818,349,3.08,10880,7626,26.72,,0.55
20050331,46593,66275,47373,16139,18902,47373,2563,9620,552,0.08,10804,12629,24.17,,0.79
20050630,48737,70815,48115,16877,22700,48115,3700,10161,812,0.08,10710,16605,24.84,,1.13
20050930,49831,71462,48327,17022,23135,48327,3141,9741,213,0.08,10645,4329,25.73,273895.85,0.29
20051231,46694,67257,44208,16747,23049,44208,3653,11837,531,0.08,10384,6560,26.15,271541.6,0.64
20060331,46628,66854,42038,18367,24816,42038,2977,10900,833,0.09,10225,11123,27.21,278222.25,0.93
20060630,49010,69597,40104,22442,29493,40104,2828,11804,1578,0.09,10062,14404,23.3,234444.6,1.21
20060930,45358,65354,36101,21972,29253,36101,3478,10811,411,0.09,9820,4061,27.35,268577,0.35
20061231,45180,66371,36634,22215,29737,36634,2626,12542,983,0.1,9777,6103,29.86,291941.22,0.62
20070331,42783,63891,34973,21627,28918,34973,4926,14398,1444,0.1,9572,13394,27.87,266771.64,1.12
20070630,40168,63171,31097,23754,32074,31097,3035,13371,2264,0.1,9380,17796,29.47,276428.6,1.44
20070930,35853,65645,32135,22744,33510,32135,4289,13762,510,0.1,9355,5878,29.46,275598.3,0.46
20071231,37775,67339,34431,22058,32908,34431,4707,16367,1205,0.11,9329,10445,35.6,332112.4,0.96
20080331,41489,70747,37554,27028,33193,37554,4388,14454,1964,0.11,9310,17527,28.38,264217.8,1.43
20080630,43242,72793,36286,29886,36507,36287,4297,15837,3182,0.11,9151,21612,27.51,251744.01,1.9
20080930,37202,65117,33594,24383,31523,33594,4373,15061,778,0.11,8977,3370,26.69,239596.13,0.48
20081231,37730,65786,34478,23710,31308,34478,4174,16629,1620,0.13,8889,9152,19.44,172802.16,0.95
20090331,40724,68853,36943,23823,31910,36943,2977,13648,2252,0.13,8898,15196,18.37,163456.26,1.29
20090630,49280,77888,39558,27034,38330,43314,3045,13099,3119,0.13,8908,19037,23.77,211743.16,1.63
20090930,52231,81612,41212,28761,40400,44958,3574,12920,435,0.13,8900,6107,25.72,228908,0.4
20091231,52487,82096,44283,25715,37813,48029,6662,19022,811,0.13,8811,11076,30.48,268559.28,1.15
20100331,54518,84910,45710,26424,39200,49456,4006,14503,1219,0.13,8762,18469,29.2875,256617.075,1.61
20100630,55676,86113,46175,26147,39938,51114,4518,16039,1977,0.13,8668,24073,23.01,199450.68,2.13
20100930,59581,91540,46942,25857,44598,56607,5410,16195,564,0.13,8562,8194,24.49,209683.38,0.63
20101231,59684,92306,48481,24312,43825,58152,6634,19953,1055,0.16,8403,12380,27.91,234527.73,1.41
20110331,66263,99727,53452,24042,46275,65367,5232,16428,1713,0.16,8431,21052,25.39,214063.09,2.03
20110630,74918,108704,57083,28774,51621,69004,5874,17367,2355,0.16,8376,26994,26,217776,2.73
20110930,75271,107415,59391,25543,48024,71318,5738,17372,436,0.16,8410,8493,24.89,209324.9,0.68
20111231,72513,112243,64121,25373,48122,76053,6624,20885,934,0.2,8382,14355,25.96,217596.72,1.47
20120331,76860,118010,68659,26170,49351,80597,5108,17407,1683,0.2,8400,23949,32.255,270942,2.08
20120630,85084,121271,66363,32688,54908,77076,-492,18059,2305,0.2,8381,31626,30.59,256374.79,2.02
20120930,84051,121876,68836,31402,53040,78550,4466,16008,603,0.2,8422,8484,29.76,250638.72,0.53
20121231,89574,128683,72576,31910,56107,84523,6377,21456,1533,0.23,8374,13264,26.7097,223667.0278,1.29
20130331,93524,134105,76688,31929,57417,88637,6055,20489,2463,0.23,8349,22930,28.605,238823.145,2.02
20130630,101466,142431,78944,37417,63487,91545,4965,19896,4257,0.23,8328,28833,34.545,287690.76,2.61
20130930,99450,142348,81641,34623,60707,94273,5244,18529,1231,0.23,8346,8205,33.28,277754.88,0.63
20131231,106870,153543,85100,33742,68443,105776,6558,24519,2963,0.28,8300,12618,37.41,310503,1.42
20140331,109006,156119,87424,33903,68695,108103,5660,20403,4155,0.28,8260,22717,40.99,338577.4,2.1
20140630,114246,172384,89784,45625,82600,110429,4612,23000,5485,0.28,8239,32231,41.7,343566.3,2.66
20140930,112439,169656,90170,44694,79486,108642,4540,23201,1282,0.28,8255,8354,46.36,382701.8,0.55
20141231,116362,174848,91879,47415,82969,110139,5863,26470,2772,0.31,8218,12694,46.45,381726.1,1.26
20150331,118398,176683,90132,40748,86551,117776,4985,21729,4163,0.31,8113,22264,40.655,329834.015,1.87
20150630,124712,176223,80083,49858,96140,107891,-3195,22180,5944,0.31,8027,29080,44.15,354392.05,1.49
20150930,121656,172896,77445,49399,95451,105264,4902,20379,1356,0.31,7986,8594,44.26,353460.36,0.61
20151231,127812,180098,76780,42643,103318,117459,5018,23796,3380,0.36,7925,14192,55.48,439679,1.24
20160331,128421,181869,74806,44354,107063,115702,3756,20531,5688,0.36,7870,24861,55.23,434660.1,1.72
20160630,139660,193694,71997,59357,121697,113541,3122,20614,8343,0.36,7808,33325,51.17,399535.36,2.12
20160930,157909,212524,70372,58810,142152,131526,5667,21928,2163,0.36,7784,11549,57.6,448358.4,0.73
20161231,144949,224610,68809,70787,155801,129615,6267,25826,4151,0.39,7730,17842,62.14,480342.2,1.54
20170331,146313,225017,69729,52005,155288,147651,5486,23212,5846,0.39,7723,28502,65.86,508636.78,2.25
20170630,159851,241086,72394,64527,168692,150867,6513,23317,8129,0.39,7708,39507,68.93,531312.44,2.74
20170930,161031,249097,89647,51615,159450,174797,6576,24538,2132,0.39,7720,12440,74.49,575062.8,0.85
20171231,167633,256003,78360,58099,177643,161094,-6302,28918,4718,0.42,7705,20315,85.54,659085.7,0.04
20180331,156659,245497,79239,46133,166258,162620,7424,26819,7652,0.42,7690,32466,91.27,701866.3,1
